symbol,buy_date,sell_date,buy_price,sell_price,qty,roi,pnl,holding_days,peak_profit_percent,peak_drawdown_percent,peak_price,bottom_price
TITAN,2019-03-12,2019-05-06,1086.45,1082.85,22,-0.331,-79.2,55,6.636,-0.75,1158.55,1078.3
TITAN,2019-10-15,2020-01-10,1272.1,1154.05,23,-9.28,-2715.15,87,8.054,-10.73,1374.55,1135.6
TITAN,2023-06-13,2024-04-10,2912.5,3711.2,40,27.423,31948.0,302,32.761,-0.335,3866.65,2902.75
TITAN,2026-01-13,2026-01-19,4231.6,4144.1,91,-2.068,-7962.5,6,0.0,-2.068,4231.6,4144.1
TRENT,2019-10-15,2020-01-27,504.95,572.75,59,13.427,4000.2,104,18.883,-2.376,600.3,492.95
TRENT,2020-04-28,2020-12-10,491.75,676.95,74,37.661,13704.8,226,59.98,-17.966,786.7,403.4
TRENT,2022-07-19,2022-12-19,1202.25,1418.05,80,17.95,17264.0,153,29.553,0.0,1557.55,1202.25
TRENT,2023-04-25,2024-10-21,1381.3,7606.55,87,450.681,541596.75,545,496.174,-0.981,8234.95,1367.75
ULTRACEMCO,2020-12-11,2021-12-13,5015.0,7414.45,10,47.845,23994.5,367,63.79,-0.143,8214.05,5007.85
ULTRACEMCO,2025-04-22,2025-06-10,11959.0,11391.0,27,-4.75,-15336.0,49,2.325,-7.743,12237.0,11033.0
WIPRO,2020-11-11,2021-12-13,173.38,322.7,223,86.123,33298.36,397,105.202,-1.2,355.78,171.3
gold_bees,2019-02-12,2019-03-11,29.21,28.5,10213,-2.431,-7251.23,27,2.431,-3.047,29.92,28.32
gold_bees,2019-05-07,2019-10-14,28.02,33.75,10733,20.45,61500.09,160,23.412,-0.464,34.58,27.89
gold_bees,2020-01-28,2020-04-27,35.72,42.56,10349,19.149,70787.16,90,21.109,-2.492,43.26,34.83
gold_bees,2021-12-14,2022-07-18,41.55,43.55,26741,4.813,53482.0,216,11.167,-1.155,46.19,41.07
gold_bees,2022-12-20,2023-04-24,46.75,51.26,28387,9.647,128025.37,125,11.102,-0.428,51.94,46.55
gold_bees,2024-10-22,2025-04-21,65.73,81.07,49009,23.338,751798.06,181,23.338,-5.994,81.07,61.79
gold_bees,2025-07-29,2025-10-13,81.91,102.65,47555,25.32,986290.7,76,25.32,0.0,102.65,81.91
